Timepoint,Track1 ID,Track2 ID,Peak1 ID,Peak2 ID,Peak1 pos (px),Peak2 pos (px),Displacement1 (px),Displacement2 (px),Initial separation (px),R2,Intercept
117,3,3,273,352,141.7663231231132,142.03078109140137,5.361332459941707,5.202482983697735,0.4233074445321279,0.9624279339276353,-0.4575072618765812
118,3,3,275,355,141.78789880796845,142.09380739534433,5.382908144796943,5.265509287640697,0.4233074445321279,0.9624279339276353,-0.4575072618765812
119,3,3,278,359,141.89649170912136,142.33421927556185,5.49150104594986,5.505921167858219,0.4233074445321279,0.9624279339276353,-0.4575072618765812
120,3,3,280,361,142.0425107953829,142.68592237432216,5.637520132211392,5.857624266618529,0.4233074445321279,0.9624279339276353,-0.4575072618765812
121,3,3,282,364,142.2217948347293,143.04600491526108,5.816804171557806,6.217706807557448,0.4233074445321279,0.9624279339276353,-0.4575072618765812
122,3,3,284,368,142.4348228332622,143.354965522898,6.029832170090685,6.5266674151943675,0.4233074445321279,0.9624279339276353,-0.4575072618765812
123,3,3,286,371,142.64001055534698,143.6380577279591,6.2350198921754725,6.809759620255477,0.4233074445321279,0.9624279339276353,-0.4575072618765812
124,3,3,288,374,142.7929442711359,143.90038697936262,6.387953607964391,7.072088871658991,0.4233074445321279,0.9624279339276353,-0.4575072618765812
125,3,3,290,377,142.95376982705906,144.05369388616444,6.548779163887559,7.225395778460808,0.4233074445321279,0.9624279339276353,-0.4575072618765812
126,3,3,292,380,143.0789067720936,144.08475391242985,6.6739161089221,7.256455804726215,0.4233074445321279,0.9624279339276353,-0.4575072618765812
127,3,3,294,383,143.24912091404119,144.0671318011693,6.844130250869682,7.238833693465665,0.4233074445321279,0.9624279339276353,-0.4575072618765812
128,3,3,296,386,143.4758492526962,143.90168464821653,7.070858589524704,7.0733865405128995,0.4233074445321279,0.9624279339276353,-0.4575072618765812
129,3,3,298,389,143.72225811164571,143.6450943337464,7.317267448474212,6.816796226042783,0.4233074445321279,0.9624279339276353,-0.4575072618765812
130,3,3,300,392,143.97811053624784,143.57113429949095,7.573119873076337,6.742836191787319,0.4233074445321279,0.9624279339276353,-0.4575072618765812
131,3,3,302,395,144.1628401371477,143.72480608723697,7.757849473976194,6.8965079795333395,0.4233074445321279,0.9624279339276353,-0.4575072618765812
132,3,3,304,398,144.21749052880494,143.99721293111963,7.812499865633441,7.168914823416003,0.4233074445321279,0.9624279339276353,-0.4575072618765812
133,3,3,306,401,144.24927467506518,144.2669347511643,7.844284011893677,7.438636643460683,0.4233074445321279,0.9624279339276353,-0.4575072618765812
134,3,3,308,404,144.2847168640487,144.44562206228386,7.879726200877201,7.617323954580229,0.4233074445321279,0.9624279339276353,-0.4575072618765812
135,3,3,309,407,144.18338191572033,144.37871641197438,7.778391252548829,7.55041830427075,0.4233074445321279,0.9624279339276353,-0.4575072618765812
136,3,3,311,410,144.0165320807281,144.15374125012374,7.6115414175565945,7.325443142420113,0.4233074445321279,0.9624279339276353,-0.4575072618765812
137,3,3,313,413,143.8793187019759,143.90258894231093,7.474328038804401,7.074290834607297,0.4233074445321279,0.9624279339276353,-0.4575072618765812
138,3,3,315,416,143.77345434899212,143.59870482551497,7.368463685820615,6.7704067178113405,0.4233074445321279,0.9624279339276353,-0.4575072618765812
139,3,3,317,419,143.66550910244158,143.28830169434843,7.260518439270072,6.4600035866448025,0.4233074445321279,0.9624279339276353,-0.4575072618765812
140,3,3,319,422,143.53219830963056,142.94528951543512,7.1272076464590555,6.11699140773149,0.4233074445321279,0.9624279339276353,-0.4575072618765812
141,3,3,321,425,143.3313184751806,142.47908373495417,6.926327812009106,5.650785627250542,0.4233074445321279,0.9624279339276353,-0.4575072618765812
142,3,3,323,428,143.1221867580765,142.11677747422274,6.717196094905006,5.2884793665191125,0.4233074445321279,0.9624279339276353,-0.4575072618765812
143,3,3,325,430,143.0426733725447,142.00548604561607,6.637682709373195,5.177187937912436,0.4233074445321279,0.9624279339276353,-0.4575072618765812
144,3,3,327,434,143.10071328266974,142.19016691880185,6.695722619498241,5.361868811098219,0.4233074445321279,0.9624279339276353,-0.4575072618765812
145,3,3,329,437,143.27931530316877,142.69390882020298,6.874324639997269,5.865610712499347,0.4233074445321279,0.9624279339276353,-0.4575072618765812
146,3,3,331,440,143.64104468656495,143.2214053478534,7.23605402339345,6.39310724014976,0.4233074445321279,0.9624279339276353,-0.4575072618765812
147,3,3,333,444,143.92051746081594,143.53323303599169,7.515526797644441,6.704934928288054,0.4233074445321279,0.9624279339276353,-0.4575072618765812
